comment,sentiment_scores,sentiment,subjectivity,word_count
Hi can you help me to decide what should I can do? Like I am working on. SAP CMMS as end user. But I start using power bi for my trends and other calculations. I felt I am good in learning DAX and I like to organize data in power i by making data model ad etc. Now I want to change my career to IT field. Can I go with SAP HANA to or PYTHON like I don’t know which is best for future job option or can we relate both,"{'neg': 0.0, 'neu': 0.78, 'pos': 0.22, 'compound': 0.9648}",Positive,0.35000000000000003,94
"Hi. Great videos. I have started learning DS using kaggle and coursera online course by university of Michigan. Right now I am doing it on my laptop which has windows 10, i5 7th gen U processor and 940mx gpu. My question is in future which hardware should I opt for. Should I go for pc or mac?","{'neg': 0.0, 'neu': 0.926, 'pos': 0.074, 'compound': 0.6249}",Positive,0.4702380952380952,57
THANKS FOR THIS AWWEEEEEESOMEEEEE VIDEO....YOURE THE BEST ❤️,"{'neg': 0.0, 'neu': 0.412, 'pos': 0.588, 'compound': 0.8613}",Positive,0.25,9
"question ; if someone has statistics bachelor degree but never worked on the major , is it easy to start the career after 8 years of graduation ?","{'neg': 0.0, 'neu': 0.857, 'pos': 0.143, 'compound': 0.5927}",Positive,0.6666666666666667,25
Hello Ken ! I´m from Brasil ! This is courses is for beginer ?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,11
Ohh yeah. Kaggle is so great. You said it all man.,"{'neg': 0.0, 'neu': 0.547, 'pos': 0.453, 'compound': 0.8147}",Positive,0.75,11
"Hey Ken, just wanted to thank you for the great work you are doing. Your channel has become by go-to source of information for data science!","{'neg': 0.0, 'neu': 0.777, 'pos': 0.223, 'compound': 0.784}",Positive,0.75,26
This is amazing! Thank you,"{'neg': 0.0, 'neu': 0.313, 'pos': 0.687, 'compound': 0.7644}",Positive,0.9,5
"Great video!!!
But I wish you mentioned some edx and coursera courses even !!","{'neg': 0.0, 'neu': 0.602, 'pos': 0.398, 'compound': 0.8057}",Positive,0.75,13
i love you,"{'neg': 0.0, 'neu': 0.192, 'pos': 0.808, 'compound': 0.6369}",Positive,0.6,3
Very informative video. Love the tone and your style of talking.,"{'neg': 0.0, 'neu': 0.691, 'pos': 0.309, 'compound': 0.6666}",Positive,0.44999999999999996,11
"Hi, Ken i just wanted to say thank you so much . I was on youtube all day looking for good  video on data science.  I am trying to get a job on Data Science, i have a degree on international studies, and this is new to me. i just don't know where to start.","{'neg': 0.0, 'neu': 0.893, 'pos': 0.107, 'compound': 0.6597}",Positive,0.31363636363636366,55
"Thank you sir, for these recommendations :)","{'neg': 0.0, 'neu': 0.476, 'pos': 0.524, 'compound': 0.6705}",Positive,1.0,6
"I've just started the path of learning DS and it feels like walking with a small candle inside a huge dark cave.
Thank you and other people like you who guide beginners in their journey. It is recognized that you have big passion for this field!","{'neg': 0.0, 'neu': 0.749, 'pos': 0.251, 'compound': 0.902}",Positive,0.43500000000000005,47
"Thanks Ken , you are the only one make it simple to me, please stay around to answer my questions when I get involved, you are a great person really, thanks again","{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.9099}",Positive,0.5014285714285714,31
